"","Quality Score","SDGi","Life Expectancy","HDI","Per Capita GDP","Region","Income Group","Population (millions)","Cropland_Footprint_Production","Grazing_Footprint_Production","Forest_Footprint_Production","Fish_Footprint_Production","BuiltUp_Footprint_Production","Carbon_Footprint_Production","Total_Footprint_Production","Cropland_Footprint_Consumption","Grazing_Footprint_Consumption","Forest_Footprint_Consumption","Fish_Footprint_Consumption","Carbon_Footprint_Consumption","Total_Footprint_Consumption","Grazing land","Forest land","Fishing ground","Total_Biocapacity"
"Fiji","3A",71.2,67.341,0.742,4794.68211400565,"Asia-Pacific","UM",0.883482971191405,0.169387177628517,0.0897540618163508,0.644178579434142,0.527720871210426,0.0258334417164674,0.451843598819424,1.90871773062533,0.427076484824165,0.217241182316632,0.76563240029071,0.534658021263824,0.696886938016122,2.66732846842792,0.0897540618163508,1.40990104205057,0.646921098959677,2.34179682217158
"Finland","3A",79.2527841269841,81.7341,0.937,48890.1919357354,"EU","HI",5.522580078125,1.37951778684478,1.10045006879526,2.99878763017647,0.821332896736235,0.0836419015191957,3.57578143402613,11.8569123388014,0.823200509735881,0.72173904623674,1.70025133149134,0.578288628837516,3.93040930210215,6.44346417261359,1.61797795383105,7.74588260922736,2.69006702039474,12.1384397861742
"France","3A",81.7,82.7244,0.898,45056.68277021,"EU","HI",65.0291992187499,1.08931925330005,0.157550574269054,0.414529589473104,0.138505104721672,0.151290028007059,1.68127818729352,3.63247273706446,0.791202473815155,0.243761705459732,0.509444271401819,0.217009734699067,2.50832310779487,4.4210313211777,0.157550574269054,0.871603839218341,0.110223214646119,2.37998690944062
"French Guiana","2A",66.7431968253968,71.7472166801587,0.717629099206349,6497.04327094926,"South America","UM",0.28293798828125,0.0891478769073354,0.0572799482932157,0.38122467665326,0.0694966263646055,0.00505190706870232,0.733013175499661,1.33521421078678,0.0891478769073354,0.0572799482932157,0.372336956642109,0.0694966263646055,1.28510463972094,1.8784179549969,0.0665290670416346,78.2455195397996,13.7336719871432,92.1399203779605
"French Polynesia","2B",73.1970158730159,77.462,0.834161781746032,20906.0382493665,"Asia-Pacific","HI",0.277678985595703,0.562116844960625,0.271006556615371,0.851638900917465,0.696848135481026,0.0776754511549742,1.87679203645764,2.12409540162839,0.672556560510727,0.312886473443275,0.77802319699289,0.638675962077024,2.47417832448004,3.995740717582,0.311417418951724,5.37770504450266,1.56458110506801,1.30575229662656
"Gabon","2A",62.8,66.187,0.697,9051.32419333847,"Africa","UM",2.11927001953124,0.242869621547223,0.0217122577459441,0.856456057362275,0.0620027622003889,0.0406322334051858,0.40567187385137,1.62934480611239,0.501665026381524,0.1281425970747,0.543314425803068,0.157832837610789,0.581752217259872,1.95333933753514,1.02046448543861,15.3599204371801,2.25934024770724,18.9232270252784
"Gambia","3A",59.3,61.735,0.487,791.45556992859,"Africa","LI",2.28009008789062,0.133736753991931,0.0306666194676948,0.147233753565012,0.0794425224290846,0.0182009413468322,0.0911736082328416,0.500454199033396,0.460530931996108,0.0504737640522236,0.141443537745449,0.0770084967463704,0.293079662260357,1.04073733414734,0.0306666194676948,0.0822608219901389,0.250954227110227,0.515819363906823
"Georgia","2A",68.7122976190476,73.6,0.805,4407.48556267421,"Middle East/Central Asia","LM",4.00293994140625,0.130682026401163,0.210489357676955,0.0655825450557768,0.193584580337111,0.0473104252717057,0.909794894331921,1.55744382907463,0.39093174390005,0.176733381861698,0.136249524609514,0.194319627426926,1.37436387226451,2.3199085753344,0.395360674550824,0.641233755653081,0.0490383202985073,1.26362520217528
"Germany","3A",82.5,80.8927,0.946,47158.2360135501,"EU","HI",83.1243984375,0.532445130529998,0.0815395124714201,0.542859069624617,0.0262644462942426,0.128824170125022,2.97048729469038,4.28241962373568,0.692994815385752,0.187526154235117,0.577515299752377,0.0435067668082716,3.04197061500531,4.67233782131185,0.0815395124714201,0.678891103161953,0.072217659671122,1.49391757595952
"Ghana","3A",62.5,63.78,0.606,1808.32868187961,"Africa","LM",29.7670996093749,0.753691144062213,0.0594574813946058,0.666246343441352,0.114841555608617,0.0940411993107111,0.205188789757857,1.89346651357536,0.585513633138257,0.0758193425281547,0.675229785717592,0.17823779692443,0.395822774157793,2.00466453177694,0.193536041972062,0.207244222819569,0.0512560322480578,1.29976864041261
"Greece","3A",75.4,81.7878,0.881,24044.4009146215,"EU","HI",10.5222001953124,0.567387697795017,0.149852671477182,0.0657905439211601,0.044834693861003,0.0495053821767249,2.14409320297924,3.02146419221033,0.702938900865339,0.377461489081312,0.302572964255066,0.101197553545938,2.56537900786244,4.09905529778682,0.149852671477182,0.219358909521666,0.182108479778591,1.16821314074918
"Grenada","2B",68.374146031746,72.384,0.773,9091.73271805689,"Central America/Caribbean","UM",0.11145400238037,0.292122783596895,0.36196022904226,0.698095245740495,0.692127418993465,0.0547919315396195,0.85152027861834,1.69506994341453,0.447279191600822,0.3330781208547,0.564490640344195,0.600809839932346,1.20759339987958,2.53614198227368,0.456579530000175,5.35513976806815,1.58369226937335,2.09815339547306
